Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
adjacent_overlap_2_fw_para,-0.2182594840145105,0.00533721880648902,0.010935709019737366,Significant (higher in literal) but small effect
adjacent_overlap_2_fw_para_div_seg,0.08445347678039422,0.2919958801021636,0.23304799659077668,Not significant
adjacent_overlap_binary_2_fw_para,-0.008791130303795839,0.9152339829998433,0.00567149725476598,Significant (higher in literal) but small effect
adjacent_overlap_noun_para,-0.08360342465092235,0.2589161090385207,0.14581371434025325,Not significant
adjacent_overlap_noun_para_div_seg,-0.13089316474745094,0.10298947224767727,0.014857281205403663,Significant (higher in literal) but small effect
adjacent_overlap_binary_noun_para,-0.07457921524411601,0.3444623175308976,0.7431542393249004,Not significant
adjacent_overlap_2_noun_para,-0.07635513065036804,0.30602921580241943,0.20838176525822705,Not significant
adjacent_overlap_2_noun_para_div_seg,-0.08787717054028366,0.25378149768322056,0.056986762284553606,Not significant
adjacent_overlap_binary_2_noun_para,-0.11155968481589648,0.17344878392187013,0.5605304232501775,Not significant
adjacent_overlap_verb_para,-0.1148615543001228,0.1474914519604779,0.04164203744143581,Significant (higher in literal) but small effect
adjacent_overlap_verb_para_div_seg,-0.14183559847535132,0.07219887649764128,0.08043944912036301,Not significant
adjacent_overlap_binary_verb_para,-0.1504705222188214,0.057781661307916767,0.1503108433581716,Not significant
adjacent_overlap_2_verb_para,-0.18516180017691802,0.025733403378481366,0.023249458627881296,Significant (higher in literal) but small effect
adjacent_overlap_2_verb_para_div_seg,-0.13606529471591938,0.08866441942543815,0.05363895581164426,Not significant
adjacent_overlap_binary_2_verb_para,-0.1675780556296007,0.03830799905908167,0.07520762835381718,Not significant
adjacent_overlap_adj_para,0.04092838404905325,0.6061650555634988,0.0330889055627708,Significant (higher in metaphorical) but small effect
adjacent_overlap_adj_para_div_seg,0.045247401115604775,0.5721459698416778,0.10296657041739958,Not significant
adjacent_overlap_binary_adj_para,0.07728314526191138,0.33464520352287874,0.17321364917975868,Not significant
