Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
acad_av_delta_p_verb_cue,-0.23783627360924392,0.0024538195599045133,0.002022946322023046,Significant (higher in literal) but small effect
acad_av_delta_p_const_cue,-0.0587322819541609,0.48735710526146925,0.0754291746485343,Not significant
acad_av_lemma_freq_log,-0.114165209542135,0.1568744865818585,0.25377118751514305,Not significant
acad_av_construction_freq_log,-0.2242692277797022,0.006548995641850397,0.000767369417640346,Significant (higher in literal) but small effect
acad_av_lemma_construction_freq_log,-0.03479088500117813,0.6518246512649967,0.6048382810109885,Not significant
acad_av_lemma_freq_type,0.6582701615157451,1.8454734199963356e-16,8.943320817904584e-18,Significant (higher in metaphorical) but small effect
acad_av_construction_freq_type,0.44517732553352474,8.436089121491147e-08,5.143490974783259e-08,Significant (higher in metaphorical) but small effect
acad_av_lemma_construction_freq_type,0.6916991393563969,9.135696722322874e-17,2.110574266916713e-19,Significant (higher in metaphorical) but small effect
acad_av_approx_collexeme_type,0.04717398015396018,0.5698127185612003,0.7006353410099897,Not significant
acad_av_faith_verb_cue_type,0.45516373997846826,7.193337104967713e-09,2.45307976088047e-08,Significant (higher in metaphorical) but small effect
acad_av_faith_const_cue_type,0.18854704937321182,0.02686903251464344,0.06707400060970281,Not significant
acad_av_delta_p_verb_cue_type,0.3954666354583347,4.967482686487166e-07,9.643329599144697e-07,Significant (higher in metaphorical) but small effect
acad_av_delta_p_const_cue_type,0.09132476978484048,0.28150467509346344,0.7946735147542566,Not significant
acad_collexeme_ratio,0.03126503019642152,0.7047908016558637,0.2961618180194966,Not significant
acad_collexeme_ratio_type,0.1341973873109806,0.10231122888999523,0.21479963622294285,Not significant
acad_lemma_ttr,0.8595084792851437,1.1809177729217885e-25,3.2316545113425613e-21,Significant (higher in metaphorical) but small effect
acad_construction_ttr,0.8564581964552729,1.6924002930998918e-25,1.4562814492115415e-21,Significant (higher in metaphorical) but small effect
acad_lemma_construction_ttr,0.8054485185538426,9.373814144530567e-23,4.0917081935912203e-19,Significant (higher in metaphorical) but small effect
acad_lemma_attested,-0.2301849981043368,0.0065545841734576445,0.1183462011288378,Not significant
acad_construction_attested,-0.25220182392601787,0.0015308795476836029,0.005318151835824038,Significant (higher in literal) but small effect
acad_lemma_construction_attested,-0.3148581495869712,7.729090504883439e-05,6.970673174921809e-05,Significant (higher in literal) but small effect
news_av_lemma_freq,0.10154730878035442,0.1713696533746789,0.11134056191706511,Not significant
news_av_construction_freq,-0.11040673723470594,0.18697120086738397,0.07067660415878176,Not significant
news_av_lemma_construction_freq,0.17649676254386717,0.02275874943569601,0.018153483628553277,Significant (higher in metaphorical) but small effect
