Feature,Mean Difference,Paired t-test p,Wilcoxon p,Notes
COCA_fiction_Frequency_Log_FW,-0.2555271995707137,0.0004311320624772588,0.0007146879943338316,Significant (higher in literal) but small effect
COCA_magazine_Range_AW,0.10026091944720915,0.17643046970640106,0.21529915616250717,Not significant
COCA_magazine_Frequency_AW,-0.080832244366595,0.2833336638516626,0.34407887310502916,Not significant
COCA_magazine_Range_Log_AW,0.02498602132647704,0.7322040334692576,0.7656637645777034,Not significant
COCA_magazine_Frequency_Log_AW,0.008817433507961523,0.9060439099099558,0.9851881743923143,Not significant
COCA_magazine_Range_CW,0.1088548861016091,0.1275156708395439,0.1852171258461388,Not significant
COCA_magazine_Frequency_CW,0.13533051574924082,0.05642843348175236,0.06518247843051905,Not significant
COCA_magazine_Range_Log_CW,-0.02742570463889757,0.7051633722404145,0.8397689418054892,Not significant
COCA_magazine_Frequency_Log_CW,-0.006270045225755427,0.9307770379278874,0.9566605899351839,Not significant
COCA_magazine_Range_FW,-0.31133560885824985,3.2510939708260904e-05,0.00011347097956558693,Significant (higher in literal) but small effect
COCA_magazine_Frequency_FW,-0.19940015697522046,0.006772449488263308,0.005219278106010005,Significant (higher in literal) but small effect
COCA_magazine_Range_Log_FW,-0.29360131684849344,0.00011301483478424212,0.00035578223829765235,Significant (higher in literal) but small effect
COCA_magazine_Frequency_Log_FW,-0.30624889640461417,3.3812109216653205e-05,7.961522547833795e-05,Significant (higher in literal) but small effect
COCA_news_Range_AW,0.111176272375153,0.1334761255335236,0.2150492916713076,Not significant
COCA_news_Frequency_AW,-0.07906788666431555,0.29439218417343044,0.36871632342353255,Not significant
COCA_news_Range_Log_AW,0.0362667978806739,0.617298682436151,0.9948829286699147,Not significant
COCA_news_Frequency_Log_AW,0.013024756171131968,0.8613706220781292,0.6367665658149224,Not significant
COCA_news_Range_CW,0.11125412760142525,0.11684387899652007,0.18859895592743992,Not significant
COCA_news_Frequency_CW,0.15405386425477946,0.03015953168888584,0.025961995188597577,Significant (higher in metaphorical) but small effect
COCA_news_Range_Log_CW,-0.021525806131660635,0.7640982746371413,0.5401124759897309,Not significant
COCA_news_Frequency_Log_CW,-0.0009365429743765231,0.9894811436390506,0.7775412989964583,Not significant
COCA_news_Range_FW,-0.3069590631632263,4.3306124315618565e-05,7.740158582607393e-05,Significant (higher in literal) but small effect
